,ANNEE,DATE,REALISE_TOTAL_FRAIS,REALISE_TOTAL_GEL,REALISE_TOTAL_FFL,weekday,month_period,dernier_jour_ferie,prochain_jour_ferie,NETTO,GEL,no_dlc,no_code,AFG, 46-001,comp,OPE,INTER, 47-001,PUB,SEC,AFS, 41/52-001,FRAIS,TD,AFF, 43/45/67-001,MEA, 48-001,DLC Longue,TA, 43-002,DLC Courte, 49-004, 49-001, 43-007, 49-007, 49-002,REA, 40-001/41-018, 10-016/40-012/41-006, 41-011/43-019,weekday_sin,weekday_cos,monthday_sin,monthday_cos,mois_sin,mois_cos,semaine_sin,semaine_cos,Temp moy Auvergne,Temp moy Bourgogne,vacances_zone_a,vacances_zone_b,vacances_zone_c,nom_vacances_Ascen,nom_vacances_halloween,nom_vacances_spring,nom_vacances_summer,nom_vacances_winter,nom_vacances_xmas,to_holydays_a,to_holydays_b,to_holydays_c,from_holydays_a,from_holydays_b,from_holydays_c
0,1,2021-12-01,98895.0,9684.0,14032.0,2,1,-20,24,44,124,288,90,33,9,107,148,125,24,62,118,57,40,126,63,79,47,21,16,32,16,8,18,9,7,5,2,1,0,1,0,0,0.9749279121818236,-0.22252093395631434,0.20129852008866006,0.9795299412524945,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,3.151666666666667,3.655,0,0,0,0,0,0,0,0,0,17,17,17,24,24,24
1,1,2021-12-02,104928.0,11806.0,18795.0,3,1,-21,23,44,124,288,90,33,9,107,148,125,24,62,118,57,40,126,63,79,47,21,16,32,16,8,18,9,7,5,2,1,0,1,0,0,0.43388373911755823,-0.900968867902419,0.39435585511331855,0.9189578116202306,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,3.1649999999999996,3.405,0,0,0,0,0,0,0,0,0,16,16,16,25,25,25
2,1,2021-12-03,108483.0,14241.0,21642.0,4,1,-22,22,44,126,292,92,34,9,109,150,127,25,62,128,58,41,127,63,79,47,21,16,32,16,8,18,9,7,5,2,1,0,1,0,0,-0.433883739117558,-0.9009688679024191,0.5712682150947923,0.8207634412072763,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,3.555,3.8166666666666664,0,0,0,0,0,0,0,0,0,15,15,15,26,26,26
3,1,2021-12-04,87204.0,6575.0,15152.0,5,1,-23,21,44,126,292,92,34,9,109,150,127,25,62,128,58,41,127,63,79,47,21,16,32,16,8,18,9,7,5,2,1,0,1,0,0,-0.9749279121818236,-0.2225209339563146,0.72479278722912,0.6889669190756866,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,4.39,4.445,0,0,0,0,0,0,0,0,0,14,14,14,27,27,27
4,1,2021-12-05,,,,6,1,-24,20,44,126,292,92,34,9,109,150,127,25,62,128,58,41,127,63,79,47,21,16,32,16,8,18,9,7,5,2,1,0,1,0,0,-0.7818314824680299,0.6234898018587334,0.8486442574947509,0.5289640103269624,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,3.8816666666666673,3.2550000000000003,0,0,0,0,0,0,0,0,0,13,13,13,28,28,28
5,1,2021-12-06,90056.0,11591.0,16088.0,0,0,-25,19,44,99,256,85,26,9,109,131,108,17,43,109,59,42,107,53,67,37,21,16,30,14,7,18,9,7,4,2,1,0,1,0,0,0.0,1.0,0.9377521321470804,0.3473052528448203,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,4.246666666666667,3.848333333333333,0,0,0,0,0,0,0,0,0,12,12,12,29,29,29
6,1,2021-12-07,98931.0,10678.0,14045.0,1,0,-26,18,49,117,292,96,30,11,106,152,124,19,67,116,66,48,125,62,77,44,21,17,36,15,8,18,9,9,4,2,1,0,1,0,0,0.7818314824680298,0.6234898018587336,0.9884683243281114,0.1514277775045767,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,5.1433333333333335,5.234999999999999,0,0,0,0,0,0,0,0,0,11,11,11,30,30,30
7,1,2021-12-08,100291.0,10006.0,13838.0,2,0,-27,17,49,117,294,96,30,11,107,153,125,19,67,116,66,48,126,63,78,45,21,17,36,15,8,18,9,9,4,2,1,0,1,0,0,0.9749279121818236,-0.22252093395631434,0.9987165071710528,-0.05064916883871264,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,5.551666666666666,5.498333333333334,0,0,0,0,0,0,0,0,0,10,10,10,31,31,31
8,1,2021-12-09,103541.0,14048.0,18768.0,3,0,-28,16,49,116,292,95,30,11,106,152,124,19,67,115,65,47,125,63,78,45,21,17,36,15,8,18,9,9,4,2,1,0,1,0,0,0.43388373911755823,-0.900968867902419,0.9680771188662043,-0.2506525322587204,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,4.256666666666667,4.115,0,0,0,0,0,0,0,0,0,9,9,9,32,32,32
9,1,2021-12-10,115799.0,11824.0,19828.0,4,0,-29,15,50,126,298,97,31,11,108,155,126,20,68,51,66,47,127,64,79,46,21,18,36,15,8,18,9,9,4,2,1,0,1,0,0,-0.433883739117558,-0.9009688679024191,0.8978045395707416,-0.4403941515576344,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,3.695,3.643333333333333,0,0,0,0,0,0,0,0,0,8,8,8,33,33,33
