Nom,Train_score,Test_score,Ecart
FPTV,0.8481164109812784,0.8064607702566637,0.041655640724614695
FPT,0.8355005284738728,0.8022342133216519,0.03326631515222089
FP,0.8266447527697549,0.7966527671183266,0.029991985651428354
FPV,0.8422331132990192,0.796496091358803,0.04573702194021623
FTV,0.8344124201449054,0.7945723233602063,0.03984009678469902
FV,0.8244430953256922,0.7896411115193652,0.03480198380632693
FT,0.8154258434872481,0.7871910087327876,0.028234834754460536
F,0.7993562806376184,0.7707127095612102,0.028643571076408247
PV,0.7882260390530272,0.7706589994248229,0.017567039628204384
P,0.7552848210486268,0.7510658783479529,0.004218942700673911
PTV,0.8027305297600303,0.7497059348351955,0.0530245949248348
V,0.7559694225210264,0.7459317099370608,0.010037712583965575
TV,0.7774185973771855,0.7257602912239612,0.05165830615322431
PT,0.7714245594167606,0.7165441319626251,0.05488042745413546
No Added Datas,0.6880301247423342,0.676840373888874,0.01118975085346019
T,0.7377206745492819,0.6675967060032726,0.07012396854600933
