Nom,Train_score,Test_score,Ecart
FT,0.6711863744693589,0.27795327719696317,0.39323309727239575
F,0.6234556169522731,0.26947351942248843,0.3539820975297847
FP,0.6776633792649822,0.24337503628640156,0.43428834297858065
FPT,0.7080568487384907,0.23102148843035952,0.4770353603081312
No Added Datas,0.46934703374094056,0.22178957938398292,0.24755745435695764
FTV,0.7007931784066569,0.2206499744225443,0.4801432039841126
T,0.5932593711428276,0.21010466506167358,0.383154706081154
P,0.6024810915387806,0.2073400926589244,0.3951409988798562
FPV,0.6989422792236786,0.20349990729103173,0.49544237193264684
FPTV,0.7261247280776749,0.20109224865977215,0.5250324794179028
FV,0.6682933160666915,0.19400365514203977,0.47428966092465175
TV,0.6444377988944414,0.1875924959025732,0.4568453029918682
V,0.5879883395329188,0.1770766512319405,0.41091168830097835
PV,0.6420164286638078,0.16926829319032943,0.4727481354734784
PTV,0.6801631891414041,0.15702766831733816,0.5231355208240659
PT,0.6504270873499121,0.14948902992513047,0.5009380574247816
