,Nom,Train_score,Test_score,Ecart
1,FPTV,0.850112809658476,0.7990554723230054,0.051057337335470576
6,FPT,0.837536757047961,0.7984719524809882,0.03906480456697281
3,FP,0.8336244219438746,0.7903110066261279,0.043313415317746795
7,FPV,0.8471887391343608,0.7898795227751664,0.05730921635919439
4,FT,0.7960641738031053,0.7874508302288907,0.008613343574214616
8,FTV,0.8198338411936057,0.7808093362970754,0.03902450489653031
5,FV,0.8136860114472366,0.7772650343091756,0.03642097713806103
2,F,0.7861581089102478,0.776305994771693,0.009852114138554802
12,PTV,0.7941202387649785,0.7431125421811386,0.05100769658383986
11,PV,0.7858645946322595,0.7346829579432119,0.05118163668904763
10,PT,0.7717496814944418,0.7284181162227992,0.043331565271642614
0,No Added Datas,0.7020921180686962,0.7237701672673275,-0.021678049198631255
14,TV,0.7561554779318382,0.7237266228030242,0.032428855128813994
9,P,0.7619213043282191,0.7237250723589853,0.03819623196923383
13,T,0.7206944659441953,0.7228477011763443,-0.0021532352321490533
15,V,0.7467866144908335,0.7161109124021441,0.030675702088689416
