,Nom,Train_score,Test_score,Ecart
4,FT,0.6884383459559111,0.2454699796905262,0.44296836626538494
2,F,0.6512918539470864,0.22707875961963497,0.42421309432745147
8,FTV,0.7124137034289248,0.22416969022111666,0.4882440132078082
3,FP,0.6861559531415644,0.22080495037435577,0.46535100276720864
6,FPT,0.7179179374228446,0.2140352604704956,0.503882676952349
7,FPV,0.7061796581950242,0.20199251809492635,0.5041871401000978
1,FPTV,0.7338111586199089,0.19093453284718875,0.5428766257727201
5,FV,0.683868599021885,0.18986769553826066,0.49400090348362435
13,T,0.6272784298450689,0.17770684957855132,0.44957158026651756
9,P,0.6221627755044234,0.17469244891143265,0.4474703265929908
14,TV,0.6595915277087134,0.16887518756607323,0.4907163401426402
0,No Added Datas,0.5449583528274796,0.16080338049618703,0.3841549723312926
10,PT,0.6683906101354433,0.15069437279186337,0.51769623734358
11,PV,0.6540567489783877,0.14869925478925938,0.5053574941891283
12,PTV,0.6886760126733213,0.14669224533952385,0.5419837673337975
15,V,0.6145891529150667,0.1284690317628907,0.48612012115217595
