,Nom,Train_score,Test_score,Ecart
15,V,0.4603328086622648,0.22998426327745836,0.23034854538480642
14,TV,0.4888302291430239,0.22057340823121618,0.2682568209118077
11,PV,0.4935977713597838,0.21088070407623216,0.2827170672835516
12,PTV,0.5115175620736216,0.20984235258042105,0.3016752094932006
5,FV,0.547238042858825,0.1980122365512007,0.34922580630762434
8,FTV,0.5662577728146676,0.18967630810995673,0.3765814647047109
7,FPV,0.5664626510575497,0.18094013882090665,0.385522512236643
1,FPTV,0.5781178507188156,0.16639349861134778,0.41172435210746783
0,No Added Datas,0.21387501107926166,0.09173338534855802,0.12214162573070364
2,F,0.3779400857495838,0.06939984592686443,0.3085402398227194
9,P,0.334664833941696,0.06134356597958124,0.27332126796211476
3,FP,0.43278983659499837,0.05925120353774305,0.3735386330572553
4,FT,0.43300078465989966,0.0433049498569128,0.38969583480298686
6,FPT,0.46456036424762026,0.018176825503661176,0.4463835387439591
13,T,0.321270257902029,-0.009587580765541448,0.33085783866757046
10,PT,0.3759383614241074,-0.015942714335341668,0.3918810757594491
