,Nom,Train_score,Test_score,Ecart
6,FPT,0.8268096951425071,0.8069639261745184,0.01984576896798873
3,FP,0.8210154846872791,0.8004490944565799,0.020566390230699283
1,FPTV,0.8434490868489257,0.8004230595832429,0.04302602726568283
4,FT,0.7827390471104906,0.7933317615901408,-0.010592714479650267
7,FPV,0.8391614407084325,0.7893293182291989,0.04983212247923352
2,F,0.7632686954160738,0.7846808098424463,-0.021412114426372475
8,FTV,0.809270439826825,0.7805373058412076,0.028733133985617387
5,FV,0.7975607154534309,0.7708710984374736,0.02668961701595729
12,PTV,0.7858759200130263,0.7428669390087175,0.04300898100430883
11,PV,0.7770128513403253,0.732918187437304,0.0440946639030213
10,PT,0.753875154131004,0.7314484932058546,0.022426660925149444
9,P,0.7454808139802283,0.7293373850444921,0.01614342893573617
14,TV,0.7357419061851347,0.7266286196297737,0.009113286555361033
15,V,0.7185866961105469,0.7238618436463958,-0.005275147535848901
0,No Added Datas,0.6363124495860801,0.7162141411310521,-0.07990169154497195
13,T,0.6845744211408655,0.7019903977684051,-0.017415976627539576
