Nom,Train_score,Test_score,Ecart
FT,0.6712896444803711,0.2778268400462469,0.3934628044341242
F,0.6228311805808833,0.26791394367231725,0.354917236908566
FP,0.6776040774396832,0.2414269071557149,0.4361771702839683
FPT,0.7080568487384908,0.23085625587779535,0.4772005928606955
FTV,0.7008567525585545,0.2218893371234648,0.4789674154350897
No Added Datas,0.46928778839196517,0.22165316468016327,0.2476346237118019
T,0.5932593711428277,0.20999162412731798,0.3832677470155097
P,0.6024810915387806,0.20676781187148008,0.3957132796673005
FPV,0.6990425132732792,0.20491000182452657,0.4941325114487526
FPTV,0.7261247280776748,0.20109224865977193,0.5250324794179029
FV,0.6680680887015731,0.1916791298184669,0.4763889588831062
TV,0.6444377988944415,0.1876960394574274,0.4567417594370141
V,0.5879883395329188,0.17707665123194039,0.41091168830097846
PV,0.6420164286638077,0.16815935367983892,0.4738570749839688
PTV,0.680163189141404,0.15745794298446536,0.5227052461569386
PT,0.6504270873499122,0.1493214411892042,0.501105646160708
