Nom,Train_score,Test_score,Ecart
FP,0.8319629704404466,0.7158257463255071,0.11613722411493954
FPV,0.8491434335209906,0.706383193405149,0.14276024011584165
P,0.8051700904664993,0.699949321888976,0.10522076857752338
F,0.8035668395184443,0.6985708861825646,0.10499595333587974
FV,0.829587965456256,0.6928388765514459,0.13674908890481008
PV,0.8302646427762703,0.6928140778317265,0.13745056494454377
PT,0.8221658938758916,0.6920039493360605,0.1301619445398311
FPTV,0.8556050986726004,0.6881958243690276,0.16740927430357277
FPT,0.8432052358270483,0.685184329232639,0.15802090659440937
No Added Datas,0.7488033955658953,0.6785908910447569,0.07021250452113836
PTV,0.8395097520077219,0.6775173881916066,0.16199236381611537
V,0.8019520737110313,0.6767561518717713,0.12519592183925998
T,0.7942130470275202,0.6694936262415196,0.12471942078600051
FTV,0.8384480142820457,0.663456879659543,0.1749911346225027
TV,0.8185613523316877,0.6579261570244698,0.16063519530721793
FT,0.8213108544540297,0.6507617374783137,0.17054911697571606
