,Nom,Train_score,Test_score,Ecart
6,FPT,0.8375924848320505,0.7983005359380778,0.039291948893972695
1,FPTV,0.8501422678808839,0.7967803254613369,0.05336194241954695
3,FP,0.8333551613101319,0.7895546354786281,0.043800525831503734
7,FPV,0.84705514988516,0.7890440839891725,0.05801106589598748
4,FT,0.7956932500176794,0.7872419129132803,0.00845133710439916
8,FTV,0.8196368256781287,0.7810890108218176,0.03854781485631109
2,F,0.7854626472252019,0.7746531392373661,0.010809507987835754
5,FV,0.8133250767136779,0.7745044911564227,0.038820585557255205
12,PTV,0.7941202387649782,0.7431125421811384,0.051007696583839746
11,PV,0.7858645946322597,0.7346829579432121,0.051181636689047516
10,PT,0.7717496814944418,0.7284181162227992,0.043331565271642614
0,No Added Datas,0.7020357784304919,0.724280252475352,-0.022244474044860074
14,TV,0.7561825919858631,0.7238329451392131,0.03234964684664998
9,P,0.7619213043282189,0.723725072358985,0.03819623196923394
13,T,0.7205758719514169,0.723169220230069,-0.0025933482786520967
15,V,0.7468003542821857,0.7158153255420037,0.030985028740182052
