,Nom,Train_score,Test_score,Ecart
4,FT,0.6884383459559111,0.2454699796905262,0.44296836626538494
2,F,0.6512792267880755,0.22491874934470657,0.4263604774433689
8,FTV,0.7124137034289248,0.22416969022111677,0.4882440132078081
3,FP,0.6861559531415642,0.2207887248228706,0.4653672283186936
6,FPT,0.7179179374228446,0.21410092373309375,0.5038170136897508
7,FPV,0.7061796581950243,0.20199251809492635,0.5041871401000979
1,FPTV,0.733811158619909,0.19097203555589526,0.5428391230640137
5,FV,0.683868599021885,0.18986769553826088,0.49400090348362413
13,T,0.6272784298450688,0.17701547100661963,0.45026295883844913
9,P,0.6221627755044234,0.17517799628704844,0.446984779217375
14,TV,0.6595915277087133,0.16929601546406536,0.49029551224464796
0,No Added Datas,0.5449583528274795,0.16080338049618692,0.3841549723312926
10,PT,0.6683906101354433,0.15093573082660627,0.517454879308837
11,PV,0.6540567489783877,0.14869925478925927,0.5053574941891285
12,PTV,0.6886760126733215,0.14669224533952352,0.5419837673337979
15,V,0.6145891529150667,0.12846903176289137,0.4861201211521753
