,Nom,Train_score,Test_score,Ecart
3,FP,0.8393954540598747,0.7138379104512763,0.1255575436085984
9,P,0.8151293515707237,0.6989018876620663,0.11622746390865746
7,FPV,0.8514118869016715,0.696547424709011,0.15486446219266048
2,F,0.8126607311808797,0.6927757747331142,0.11988495644776542
0,No Added Datas,0.7718453735138917,0.6924125601821338,0.07943281333175789
11,PV,0.8344694181643019,0.6917994817844506,0.14266993637985126
10,PT,0.829888068932245,0.6911171944490289,0.13877087448321612
6,FPT,0.8500312183515486,0.6907007105241204,0.1593305078274282
1,FPTV,0.857527070217946,0.6869488597899928,0.1705782104279533
12,PTV,0.8432342789635743,0.6826810939487169,0.16055318501485738
5,FV,0.8334535607823262,0.6774496552365077,0.15600390554581856
15,V,0.8093512909786706,0.6747939177681966,0.134557373210474
13,T,0.8026391245024974,0.6672724213703389,0.13536670313215848
14,TV,0.8224884795854398,0.6621566048668379,0.16033187471860189
8,FTV,0.8413771571068702,0.6568968935204745,0.1844802635863957
4,FT,0.8285885828292,0.6542187643843591,0.1743698184448409
