,Nom,Train_score,Test_score,Ecart
6,FPT,0.8217250245105752,0.7995539231945401,0.022171101316035058
3,FP,0.8157811277459823,0.7941071173842511,0.021674010361731222
1,FPTV,0.838753197877572,0.793152119883649,0.04560107799392299
7,FPV,0.8329402177330283,0.7830487563551896,0.04989146137783873
12,PTV,0.7712060656055216,0.7352273340939015,0.03597873151162012
8,FTV,0.7958831795812167,0.7344737851708041,0.0614093944104126
11,PV,0.765066067687872,0.7315954106179264,0.033470657069945564
9,P,0.7329415605629477,0.7094342918244534,0.02350726873849429
10,PT,0.7401194072398416,0.7056480937988702,0.03447131344097143
4,FT,0.7569355690893607,0.7053167746651952,0.051618794424165504
5,FV,0.7622959809460654,0.6729480625734272,0.08934791837263822
2,F,0.7028062831314398,0.6551602551598257,0.0476460279716141
14,TV,0.6769980496064976,0.6310887564838789,0.04590929312261871
15,V,0.6476426163706627,0.5829358140456813,0.06470680232498138
13,T,0.5864980823129906,0.5292770108483306,0.057221071464660045
0,No Added Datas,0.47304421394987484,0.5276870723087216,-0.054642858358846746
