,Nom,Train_score,Test_score,Ecart
6,FPT,0.825618761890613,0.8069661584521642,0.018652603438448767
1,FPTV,0.8427037093644901,0.8009673130504278,0.04173639631406234
3,FP,0.8183740669541248,0.7983068279314818,0.02006723902264307
4,FT,0.7813073289171354,0.7894382136637316,-0.008130884746596179
7,FPV,0.8375262301430692,0.7864796376175658,0.051046592525503365
2,F,0.7574944368755012,0.7838205621675493,-0.02632612529204803
8,FTV,0.8080536293360694,0.7804537111950425,0.027599918141026913
5,FV,0.7938523943927196,0.7681193225567139,0.025733071836005705
12,PTV,0.7815420226527066,0.750594504376326,0.030947518276380537
10,PT,0.7491452470188992,0.7445239344301059,0.0046213125887932804
11,PV,0.7700940491127235,0.7424240870553105,0.02766996205741301
9,P,0.7358334496972097,0.7412059650125349,-0.0053725153153252325
14,TV,0.7301878927854281,0.7386343047447446,-0.008446411959316502
0,No Added Datas,0.6162255335355624,0.723718921436677,-0.10749338790111462
15,V,0.7085660378446826,0.7233089930811911,-0.014742955236508481
13,T,0.6783394660623392,0.7144724843678828,-0.03613301830554361
