Nom,Train_score,Test_score,Ecart
FT,0.6480856166419395,0.2856623727385984,0.36242324390334113
F,0.5954341254954996,0.26599203173348784,0.3294420937620117
FP,0.6626026639679915,0.25114310220813496,0.41145956175985654
T,0.5667221463478602,0.2448448393687902,0.32187730697907
No Added Datas,0.42520434013571495,0.24405007937232948,0.18115426076338548
FPT,0.6929181811772682,0.2352096657332584,0.4577085154440098
FTV,0.6842491338337507,0.23366935140130474,0.450579782432446
P,0.5785684343107322,0.21613362223558918,0.36243481207514305
FPV,0.684695050094647,0.215463356645326,0.46923169344932103
TV,0.6217744436181988,0.2148495380677483,0.40692490555045047
FPTV,0.7132366167695728,0.21364137742815448,0.49959523934141836
FV,0.6484543255179416,0.20119712837675074,0.44725719714119083
V,0.5545403417744494,0.18823423211271229,0.36630610966173716
PTV,0.6607202343058758,0.1780011925877445,0.4827190417181313
PV,0.6210595468601225,0.17434393938843296,0.4467156074716896
PT,0.6278567395941249,0.16794791309122958,0.45990882650289533
