,Nom,Train_score,Test_score,Ecart
4,FT,0.6670661474268378,0.24385370938927886,0.4232124380375589
8,FTV,0.699141577490194,0.23229060080252406,0.46685097668766995
3,FP,0.6726788499306666,0.22631369539538593,0.4463651545352807
6,FPT,0.7020253824145697,0.21813569784430054,0.48388968457026915
7,FPV,0.6936864531484271,0.2096245635773144,0.48406188957111274
2,F,0.6306716040816986,0.2089722756400828,0.42169932844161584
13,T,0.5980371437960863,0.20647704187572802,0.3915601019203583
14,TV,0.6367831922444183,0.20185594290600462,0.43492724933841365
1,FPTV,0.7221285028372779,0.20055522076031762,0.5215732820769603
0,No Added Datas,0.5121161540151111,0.19856073296123178,0.31355542105387935
5,FV,0.6689578125538127,0.19000799701461069,0.478949815539202
9,P,0.5959898553907554,0.18166030416629875,0.4143295512244567
12,PTV,0.6688051889537648,0.17286973801158212,0.4959354509421827
10,PT,0.6440613609959138,0.16616343933004052,0.4778979216658733
11,PV,0.6307351092787743,0.16222160465929303,0.46851350461948127
15,V,0.5856451203301232,0.14430804559067878,0.4413370747394444
