,Nom,Train_score,Test_score,Ecart
3,FP,0.8331682536742682,0.7118435959575727,0.12132465771669543
7,FPV,0.8473468411141114,0.708116012010083,0.1392308291040284
9,P,0.8084931859538819,0.7075712345051155,0.10092195144876637
11,PV,0.8295535688706839,0.7058526961113363,0.1237008727593476
0,No Added Datas,0.7559603394651779,0.7034902514278026,0.052470088037375295
1,FPTV,0.8533198547851398,0.7001176319310828,0.15320222285405705
12,PTV,0.8390954381876563,0.6982762661730169,0.14081917201463945
10,PT,0.8258685831131367,0.6972622427178745,0.1286063403952622
2,F,0.8059549633999856,0.6967567051123762,0.10919825828760943
15,V,0.8029017461563566,0.6906011143700796,0.11230063178627692
6,FPT,0.8440880616634203,0.6882766934074798,0.15581136825594055
5,FV,0.8292352093562181,0.6863363311041413,0.1428988782520768
14,TV,0.8183069649045983,0.6769128384474437,0.14139412645715466
13,T,0.7965814925100261,0.6712255108886067,0.12535598162141937
8,FTV,0.8381729490066128,0.6679720526691368,0.17020089633747593
4,FT,0.8235118627346439,0.6556113580980625,0.16790050463658146
