,Nom,Train_score,Test_score,Ecart
6,FPT,0.8264353687655351,0.8095691543552004,0.016866214410334757
3,FP,0.8207695919257597,0.8045788428578331,0.016190749067926613
1,FPTV,0.8431296939789645,0.8031358895876719,0.03999380439129263
7,FPV,0.8389246287445622,0.7935756097288958,0.04534901901566635
4,FT,0.7819652131972891,0.7932635940307705,-0.011298380833481447
2,F,0.7608035873086078,0.7899538819428209,-0.029150294634213147
8,FTV,0.808578661751141,0.7833279444748948,0.02525071727624617
5,FV,0.7963587201832796,0.7774704816178666,0.018888238565412996
12,PTV,0.7816466085476976,0.7519045062386902,0.029742102309007423
11,PV,0.7708702391964833,0.7467521023851328,0.024118136811350555
10,PT,0.7493302051375182,0.7449116721607937,0.004418532976724565
9,P,0.7368322086259032,0.7445417598073067,-0.0077095511814035955
14,TV,0.7303336186774836,0.7409984555568234,-0.010664836879339834
15,V,0.7111009259966619,0.7322766009718132,-0.021175674975151382
0,No Added Datas,0.618218617890379,0.7230356586554916,-0.10481704076511256
13,T,0.6784344518889043,0.7155250097032098,-0.03709055781430548
