Nom,Train_score,Test_score,Ecart
FT,0.6543549558525338,0.29422211345611404,0.36013284239641974
F,0.6091080159472941,0.2876711835635263,0.32143683238376786
No Added Datas,0.43262417461789093,0.2569704650825283,0.17565370953536263
FP,0.6673755143261386,0.2569324233953467,0.4104430909307919
T,0.5689374055599642,0.24691907389723788,0.3220183316627263
FPT,0.6964307468296137,0.24576240632194946,0.45066834050766424
FTV,0.6875193311375365,0.2357319147394833,0.4517874163980532
P,0.5805631840211056,0.2221559144687706,0.35840726955233504
TV,0.6227621592116285,0.21987662359207172,0.40288553561955676
FPV,0.6871708007420446,0.21897343698281668,0.46819736375922794
FPTV,0.7145347998542344,0.2119825599676688,0.5025522398865656
FV,0.6550449705495809,0.20783637896571971,0.44720859158386117
V,0.5612368887572992,0.20291151355070902,0.35832537520659014
PTV,0.6608077161426885,0.18147385942960048,0.47933385671308804
PV,0.6215594760038456,0.17739890618053744,0.4441605698233082
PT,0.6294162909531156,0.17545568383803856,0.453960607115077
