Nom,Train_score,Test_score,Ecart
FPV,0.8460063943003562,0.714890948660881,0.1311154456394752
FP,0.827266366568203,0.714865906766708,0.11240045980149493
PV,0.8261091204069863,0.7049415151012042,0.12116760530578208
FV,0.8255080728924956,0.7006634184479608,0.12484465444453485
F,0.7965888916988138,0.6997209161331202,0.0968679755656936
FPTV,0.8529694002149109,0.6978214602893205,0.1551479399255904
P,0.7991946097483549,0.6975122332546905,0.1016823764936644
PTV,0.8362286760982862,0.6939199467244255,0.14230872937386074
No Added Datas,0.7324224167305893,0.6925779474211438,0.03984446930944552
PT,0.8188576426633952,0.6898888946062733,0.12896874805712188
V,0.7954341375235061,0.6897417345785615,0.10569240294494464
FPT,0.8391501709625451,0.6820380074589021,0.157112163503643
TV,0.8143664129014958,0.6743021934399734,0.14006421946152237
FTV,0.8353754261225179,0.6722522788986309,0.163123147223887
T,0.7892631112649697,0.6677539712727697,0.12150913999220003
FT,0.8170346110447053,0.6562319329187776,0.16080267812592774
