,Nom,Train_score,Test_score,Ecart
6,FPT,0.8367103944916741,0.8006319658428542,0.03607842864881983
1,FPTV,0.8496672709652489,0.8003629472255676,0.0493043237396813
7,FPV,0.8465838595503211,0.7918021909730202,0.054781668577300935
3,FP,0.8327423126593467,0.7916215023428694,0.041120810316477296
4,FT,0.795093194509369,0.7882027307329276,0.0068904637764414245
8,FTV,0.81917572387912,0.7811921803191086,0.037983543560011324
2,F,0.7838760766661939,0.7770721745842442,0.006803902081949698
5,FV,0.8126363609661538,0.7763950477277132,0.0362413132384406
12,PTV,0.7900893149631826,0.7523230236325802,0.037766291330602386
11,PV,0.780281263945009,0.7461796223317865,0.03410164161322249
10,PT,0.7680492849439344,0.7397651165438623,0.028284168400072085
13,T,0.7148262330077371,0.737743487696164,-0.02291725468842698
14,TV,0.7501892843685818,0.7363480188883674,0.01384126548021436
9,P,0.7550893517846429,0.7342074294874228,0.02088192229722008
0,No Added Datas,0.692489469474542,0.7309347965640378,-0.03844532708949577
15,V,0.7396002537711146,0.7257228969435208,0.013877356827593834
