,Nom,Train_score,Test_score,Ecart
4,FT,0.6719860519136552,0.26015105600122745,0.4118349959124278
8,FTV,0.7006330714296061,0.2378476210715873,0.46278545035801877
3,FP,0.6756262234875379,0.2335928929427149,0.44203333054482297
2,F,0.6356915245101499,0.2328635801354283,0.4028279443747216
6,FPT,0.7048959957104466,0.2319783077076607,0.4729176880027859
13,T,0.6002191181590586,0.2211709741070892,0.3790481440519694
7,FPV,0.6943126647880004,0.21419867918959834,0.480113985598402
14,TV,0.6375957549631524,0.2062818662142527,0.43131388874889964
1,FPTV,0.7227334386472407,0.20506832634944083,0.5176651122977999
0,No Added Datas,0.5134215654488816,0.20380119033388566,0.30962037511499596
5,FV,0.6703356677150842,0.19582862034573045,0.4745070473693538
9,P,0.5978248806704882,0.19223298147062462,0.4055918991998636
10,PT,0.6457396905046008,0.1767017964261811,0.46903789407841967
12,PTV,0.6691724529703478,0.17440866065675087,0.4947637923135969
11,PV,0.6319549174450168,0.1695152525749516,0.46243966487006516
15,V,0.5886625201226914,0.15288032746872893,0.43578219265396245
