Nom,Train_score,Test_score,Ecart
FT,0.6515284834656846,0.2854532803605462,0.3660752031051384
FP,0.6554828283179421,0.25114211746229487,0.40434071085564727
FPT,0.6950138604598204,0.24812007930046864,0.44689378115935174
FTV,0.6868453490307824,0.23344562092014376,0.45339972811063867
FPTV,0.7129085351896699,0.21911177387923275,0.49379676131043715
T,0.5317241072434158,0.21532321190415948,0.3164008953392563
F,0.5679435808820952,0.21417278140368723,0.35377079947840795
V,0.5406200597608923,0.20702424272680042,0.3335958170340919
No Added Datas,0.3434263481222982,0.20308081321300608,0.14034553490929214
P,0.562341049925104,0.20040450951059086,0.3619365404145132
FPV,0.6809255175631631,0.2000830522641145,0.4808424652990486
FV,0.6368060012858352,0.19719888810028263,0.43960711318555257
TV,0.6107445144591979,0.1904979735357648,0.42024654092343305
PV,0.613777099001613,0.16896817872560155,0.4448089202760115
PTV,0.6540771139794379,0.1678364946037677,0.4862406193756702
PT,0.6168831585966139,0.1650798877057399,0.451803270890874
