,Nom,Train_score,Test_score,Ecart
6,FPT,0.8272116473384055,0.8075747448533158,0.019636902485089647
1,FPTV,0.8435152948210191,0.8026154030573851,0.040899891763633955
3,FP,0.8218849805946943,0.8017855507843525,0.02009942981034174
4,FT,0.7818250558482325,0.7943138562264428,-0.012488800378210319
7,FPV,0.8394435631481508,0.7917571934268426,0.04768636972130824
2,F,0.7645143892291824,0.7869469228402508,-0.02243253361106845
8,FTV,0.8085759269281935,0.7835281148992029,0.025047812028990535
5,FV,0.7979952829342205,0.7767566200470537,0.021238662887166804
12,PTV,0.7858829892554833,0.7429603132432543,0.04292267601222899
11,PV,0.7769829198893291,0.7332191829115006,0.04376373697782854
10,PT,0.7538751541310041,0.7314484932058545,0.022426660925149666
9,P,0.7454808139802281,0.729337385044492,0.01614342893573617
14,TV,0.7345128852130275,0.72906991439043,0.0054429708225974816
15,V,0.7181311722406859,0.7251583977503139,-0.007027225509627977
0,No Added Datas,0.6358114821046663,0.7179022481411843,-0.08209076603651799
13,T,0.6815979321106023,0.7058139352928081,-0.024216003182205847
