Nom,Train_score,Test_score,Ecart
FT,0.8203748549962179,0.5774073183491021,0.2429675366471158
F,0.8084518679802645,0.5696500241936873,0.2388018437865772
FTV,0.8343301288568027,0.5646691365259631,0.2696609923308396
FV,0.8270126098673549,0.5542695374511204,0.2727430724162345
No Added Datas,0.7108646086220601,0.49507806338078275,0.21578654524127738
TV,0.7537828425602919,0.49284409377895844,0.2609387487813335
T,0.7296124346457846,0.49244596458602086,0.23716647005976377
V,0.7424520034212866,0.4909301769071628,0.2515218265141238
FPT,0.8480255137860612,0.4903028458790982,0.35772266790696294
FP,0.8414372620792653,0.48741472697292976,0.3540225351063355
FPTV,0.8545565316360302,0.4819181039030853,0.37263842773294487
FPV,0.8492283721823212,0.4775835741650797,0.3716447980172415
PV,0.7740051656107694,0.4007375709208625,0.3732675946899069
P,0.7603169326716748,0.3998944800261428,0.36042245264553197
PTV,0.7831455907401998,0.39306163749311185,0.390083953247088
PT,0.7707150414490569,0.38624111972448927,0.3844739217245676
