Nom,Train_score,Test_score,Ecart
FT,0.6832025715305468,0.2470385708428109,0.43616400068773586
FTV,0.7095950515531311,0.22916794457866152,0.48042710697446955
F,0.6476209410605367,0.22914901961121215,0.41847192144932455
FP,0.6855545088632107,0.22039403845383532,0.46516047040937536
FPT,0.7179011168600915,0.21260420269776625,0.5052969141623253
FPV,0.7059416545720243,0.2009524010673429,0.5049892535046814
FV,0.682154739934816,0.19026305953216827,0.49189168040264775
FPTV,0.7340083286669041,0.18950548028570946,0.5445028483811947
P,0.6221627755044232,0.17469244891143265,0.4474703265929906
T,0.6209688123711576,0.17026558495336241,0.4507032274177952
TV,0.6559334706382336,0.164217099291726,0.4917163713465076
No Added Datas,0.5426896780697232,0.1592081201000185,0.38348155796970473
PT,0.6683906101354434,0.150305152103833,0.5180854580316104
PV,0.6540567489783877,0.1482634374923193,0.5057933114860684
PTV,0.6886860041033356,0.1457828798125821,0.5429031242907535
V,0.6126964823948093,0.12581438464037364,0.4868820977544357
