,Nom,Train_score,Test_score,Ecart
6,FPT,0.8268096951425072,0.8069639261745183,0.019845768967988953
3,FP,0.821015484687279,0.80044909445658,0.02056639023069906
1,FPTV,0.8434490868489257,0.8004230595832428,0.04302602726568294
4,FT,0.7812729366306099,0.7946251848113626,-0.013352248180752646
7,FPV,0.8391614407084323,0.7893293182291984,0.049832122479233965
2,F,0.7627718222974703,0.7866452737205671,-0.023873451423096825
8,FTV,0.8083423101306847,0.782253732069919,0.0260885780607657
5,FV,0.797191612407468,0.7719161602966775,0.02527545211079052
12,PTV,0.7858759200130263,0.7432922953058085,0.04258362470721777
11,PV,0.7770128513403254,0.7335255690372782,0.043487282303047214
10,PT,0.753875154131004,0.7314484932058549,0.02242666092514911
9,P,0.7454808139802283,0.7293373850444922,0.01614342893573606
14,TV,0.734494270715558,0.7290342885464693,0.005459982169088606
15,V,0.7181139473119328,0.7250838952602855,-0.006969947948352706
0,No Added Datas,0.6358114821046663,0.7179022481411846,-0.08209076603651833
13,T,0.6815689006763793,0.7058409104729078,-0.024272009796528438
