Nom,Train_score,Test_score,Ecart
FP,0.832876249830131,0.7100449427969865,0.12283130703314449
FPV,0.8488805132238664,0.7015956784440404,0.147284834779826
P,0.8067746106603273,0.6931837682785578,0.11359084238176953
FPT,0.8441034237885647,0.6879999309284565,0.15610349286010827
PT,0.8233007174567838,0.6876998533449817,0.13560086411180206
FPTV,0.8557280844404955,0.6865363468263234,0.16919173761417217
PV,0.8305495944762247,0.6854336798183159,0.14511591465790874
PTV,0.8398849096617158,0.6795721902994776,0.16031271936223823
V,0.7516382175734062,0.6031800754713393,0.14845814210206687
FV,0.7860700061368423,0.6024497401771327,0.1836202659597096
TV,0.7669947294198931,0.586004511092612,0.18099021832728113
FTV,0.7948153710525779,0.5787787027437439,0.21603666830883406
F,0.7456526603173479,0.5751939997933528,0.17045866052399505
T,0.7264718883692476,0.5726384530893439,0.15383343527990367
No Added Datas,0.6771086262945736,0.5708310073013767,0.10627761899319688
FT,0.7633231332780432,0.5360578722474038,0.2272652610306395
