Nom,Train_score,Test_score,Ecart
FPT,0.8375924848320505,0.7983005359380779,0.039291948893972584
FPTV,0.850142267880884,0.7967803254613367,0.05336194241954728
FP,0.8333551613101318,0.7895546354786283,0.04380052583150351
FPV,0.84705514988516,0.7890440839891727,0.05801106589598726
FT,0.7949371867061445,0.7876750600542329,0.007262126651911616
FTV,0.8194625623487312,0.781613637196217,0.037848925152514146
F,0.7854286657098822,0.775456974843363,0.009971690866519278
FV,0.8132932260632134,0.775277753198355,0.0380154728648584
PTV,0.7941202387649784,0.7431125421811386,0.051007696583839746
PV,0.7858645946322595,0.7346829579432123,0.051181636689047294
PT,0.771749681494442,0.7284181162227991,0.04333156527164295
No Added Datas,0.7008593807899626,0.7267303361979004,-0.025870955407937823
TV,0.7556329389348221,0.7246621877351112,0.030970751199710933
T,0.7186279964620177,0.7238263926767858,-0.005198396214768142
P,0.761921304328219,0.7237250723589852,0.03819623196923383
V,0.7465840021426338,0.7168965060112255,0.02968749613140831
