Nom,Train_score,Test_score,Ecart
FT,0.6832025715305468,0.24696576824660865,0.4362368032839381
FTV,0.7095950515531311,0.22916794457866219,0.4804271069744689
F,0.6476150108680794,0.22853632042663863,0.41907869044144075
FP,0.6855545088632107,0.22039403845383587,0.4651604704093748
FPT,0.7179011168600917,0.21260420269776636,0.5052969141623254
FPV,0.7059416545720243,0.20095240106734302,0.5049892535046813
FV,0.6821547399348162,0.19026305953216804,0.4918916804026482
FPTV,0.7340083286669041,0.18942436655478567,0.5445839621121185
P,0.6221627755044232,0.17521419520472614,0.4469485802996971
T,0.6209688123711576,0.17043308856419315,0.4505357238069645
TV,0.6559334706382336,0.1642918555859325,0.4916416150523011
No Added Datas,0.5426896780697231,0.1592081201000185,0.3834815579697046
PT,0.6683906101354433,0.15068382289859428,0.517706787236849
PV,0.6540567489783877,0.14826343749231952,0.5057933114860682
PTV,0.6886860041033356,0.1460543522135408,0.5426316518897948
V,0.6126964823948091,0.1258143846403732,0.4868820977544359
