Nom,Train_score,Test_score,Ecart
FP,0.8273763191504179,0.7098934782260904,0.11748284092432748
FPV,0.8452963314498595,0.7096727238656908,0.1356236075841687
FPTV,0.8519471128367487,0.6971321522441001,0.15481496059264865
P,0.8008003084995488,0.695743760099236,0.10505654840031275
PV,0.827121505943928,0.6942987755583312,0.13282273038559678
PT,0.8189735878711353,0.6900081147256558,0.12896547314547946
FPT,0.8388172098377252,0.6890253469484617,0.1497918628892635
PTV,0.8361478294058643,0.6882086158419214,0.1479392135639429
FV,0.7813800849810559,0.6111724033990966,0.1702076815819593
V,0.7465769352901028,0.6109983250769816,0.13557861021312123
No Added Datas,0.6577267959594069,0.5952242082499977,0.0625025877094092
FTV,0.790852132151285,0.5935324135065856,0.19731971864469944
TV,0.7619770798431635,0.5869397897702694,0.17503729007289415
F,0.7343750357595155,0.5751973861907204,0.1591776495687951
T,0.7182981121240455,0.5696774144215554,0.1486206977024901
FT,0.7568430938953227,0.5447857460172999,0.21205734787802277
