Nom,Train_score,Test_score,Ecart
FT,0.8197827863547809,0.5770291122730076,0.24275367408177329
F,0.804886093718138,0.5645856420798392,0.24030045163829883
FTV,0.8335673378088275,0.5597792132696751,0.27378812453915247
FV,0.823445605155996,0.5463044615034117,0.27714114365258424
No Added Datas,0.6997153851428488,0.5004979386106746,0.1992174465321742
T,0.7246463507307428,0.499772697115191,0.22487365361555178
TV,0.7479076773153437,0.4945763155087399,0.25333136180660376
FPT,0.8478039383684199,0.49414246258010075,0.3536614757883192
V,0.7310047056676596,0.4936812715626646,0.237323434104995
FP,0.8397019395437355,0.4852120783841185,0.354489861159617
FPTV,0.8538550584421989,0.4850656873813176,0.3687893710608813
FPV,0.8471953631506945,0.47864440942703057,0.368550953723664
P,0.7523605323662004,0.41152772687641603,0.34083280548978434
PV,0.7676085089856702,0.4079675758212813,0.35964093316438894
PTV,0.7795388939569634,0.3939667616687632,0.3855721322882002
PT,0.7668133112711495,0.39130254247796825,0.37551076879318124
