ANNEE,MOIS,SEMAINE,JOUR,DATE,PREVISION_BUDGET_FRAIS,REALISE_TOTAL_FRAIS,NB_HEURES_TOTAL_FRAIS,OBJECTIF_PROD_FRAIS,PREVISION_BUDGET_GEL,REALISE_TOTAL_GEL,NB_HEURES_TOTAL_GEL,OBJECTIF_PROD_GEL,PREVISION_BUDGET_FFL,REALISE_TOTAL_FFL,NB_HEURE_PREPARATION_FFL,OBJECTIF_PROD_FFL,REALISE_GEL_EXP,REALISE_FLF_EXP,REALISE_HGE_EXP,REALISE_MECA_EXP,TOTAL_EXPE_EXP,NB_HEURE_EXP,OBJECTIF_PROD_EXP,colIndex,dernier_jour_ferie,prochain_jour_ferie
2020,3,10,lun,2020-03-02,75805.0,76883.0,508.19,209.0,12769.0,11240.0,100.96,130.0,16500.0,18029.0,143.46,150.0,572.7972972972973,912.5135135135135,312.9054054054054,2010.1081081081081,3829.0,204.17,36.0,,61,42
2020,3,10,mar,2020-03-03,108111.0,102118.0,593.55,209.0,14450.0,11438.0,97.78,130.0,14500.0,17120.0,125.82,150.0,566.4025974025974,741.8701298701299,291.4657534246575,1851.7532467532467,3875.0,196.56,36.0,1.0,62,41
2020,3,10,mer,2020-03-04,110822.0,102394.0,615.11,209.0,10417.0,12655.0,105.05,130.0,13500.0,16753.0,109.19,150.0,576.6973684210526,784.2236842105264,307.63157894736844,2286.815789473684,4269.0,223.23,36.0,2.0,63,40
2020,3,10,jeu,2020-03-05,108573.0,111387.0,612.33,209.0,10820.0,11251.0,103.95,130.0,19000.0,20926.0,156.3,150.0,565.418918918919,1004.8082191780821,300.0,1950.041095890411,4469.0,227.16,36.0,3.0,64,39
2020,3,10,ven,2020-03-06,99126.0,100346.0,590.2,209.0,8233.0,12324.0,98.0,130.0,23000.0,24503.0,177.42,150.0,544.6338888888889,1024.3729577464787,306.76056338028167,2394.2454929577466,4719.0,239.9,36.0,4.0,65,38
2020,3,10,sam,2020-03-07,81725.0,75824.0,452.27,209.0,10525.0,6773.0,80.24,130.0,14500.0,14823.0,110.49,150.0,296.636301369863,707.6416438356164,104.83098591549296,1611.9123287671234,3118.0,170.15,36.0,5.0,66,37
2020,3,11,lun,2020-03-09,73298.0,69729.0,535.18,209.0,12769.0,13650.0,126.54,130.0,16500.0,16217.0,111.04,150.0,572.7972972972973,912.5135135135135,312.9054054054054,2010.1081081081081,3702.0,226.46,36.0,7.0,68,35
2020,3,11,mar,2020-03-10,104122.0,95297.0,655.52,209.0,14450.0,14421.0,137.0,130.0,14500.0,14585.0,97.49,150.0,566.4025974025974,741.8701298701299,291.4657534246575,1851.7532467532467,3794.0,177.11,36.0,8.0,69,34
2020,3,11,mer,2020-03-11,104069.0,103492.0,699.38,209.0,10417.0,12773.0,112.69,130.0,13500.0,14949.0,105.38,150.0,576.6973684210526,784.2236842105264,307.63157894736844,2286.815789473684,4271.0,189.78,36.0,9.0,70,33
2020,3,11,jeu,2020-03-12,98291.0,102555.0,661.75,209.0,10820.0,13327.0,146.29,130.0,19000.0,20442.0,134.9,150.0,565.418918918919,1004.8082191780821,300.0,1950.041095890411,4243.0,195.33,36.0,10.0,71,32
2020,3,11,ven,2020-03-13,101554.0,93279.0,652.72,209.0,8233.0,12325.0,124.4,130.0,23000.0,27477.0,177.89,150.0,544.6338888888889,1024.3729577464787,306.76056338028167,2394.2454929577466,4504.0,188.6,36.0,11.0,72,31
2020,3,11,sam,2020-03-14,78031.0,96790.0,607.1,209.0,10525.0,9032.0,94.52,130.0,14500.0,22528.0,131.46,150.0,296.636301369863,707.6416438356164,104.83098591549296,1611.9123287671234,3478.0,155.37,36.0,12.0,73,30
2020,3,12,lun,2020-03-16,72001.0,104778.0,644.05,209.0,12769.0,17247.0,122.0,130.0,18000.0,19916.0,135.41,150.0,572.7972972972973,912.5135135135135,312.9054054054054,2010.1081081081081,4545.0,209.64,36.0,14.0,75,28
2020,3,12,mar,2020-03-17,94961.0,113952.0,681.8,209.0,14450.0,14023.0,128.92,130.0,17000.0,16600.0,104.66,150.0,566.4025974025974,741.8701298701299,291.4657534246575,1851.7532467532467,4483.0,252.03,36.0,15.0,76,27
2020,3,12,mer,2020-03-18,95655.0,111478.0,703.29,209.0,10417.0,13416.0,129.45,130.0,16500.0,18234.0,123.35,150.0,576.6973684210526,784.2236842105264,307.63157894736844,2286.815789473684,4780.0,243.09,36.0,16.0,77,26
2020,3,12,jeu,2020-03-19,96486.0,98114.0,720.02,209.0,10820.0,11604.0,114.09,130.0,21000.0,15429.0,115.25,150.0,565.418918918919,1004.8082191780821,300.0,1950.041095890411,4348.0,237.64,36.0,17.0,78,25
2020,3,12,ven,2020-03-20,83138.0,59919.0,620.94,209.0,8233.0,13737.0,122.79,130.0,24500.0,17626.0,112.92,150.0,544.6338888888889,1024.3729577464787,306.76056338028167,2394.2454929577466,3483.0,221.45,36.0,18.0,79,24
