ANNEE,MOIS,SEMAINE,JOUR,DATE,PREVISION_BUDGET_FRAIS,REALISE_TOTAL_FRAIS,NB_HEURES_TOTAL_FRAIS,OBJECTIF_PROD_FRAIS,PREVISION_BUDGET_GEL,REALISE_TOTAL_GEL,NB_HEURES_TOTAL_GEL,OBJECTIF_PROD_GEL,PREVISION_BUDGET_FFL,REALISE_TOTAL_FFL,NB_HEURE_PREPARATION_FFL,OBJECTIF_PROD_FFL,REALISE_GEL_EXP,REALISE_FLF_EXP,REALISE_HGE_EXP,REALISE_MECA_EXP,TOTAL_EXPE_EXP,NB_HEURE_EXP,OBJECTIF_PROD_EXP,colIndex,weekday,month_period,dernier_jour_ferie,dernier_jour_ferie_nom,prochain_jour_ferie,prochain_jour_ferie_nom,prox_jour_ferie,prox_jour_ferie_nom,NETTO,GEL,no_dlc,no_code,AFG, 46-001,comp,OPE,INTER, 47-001,PUB,SEC,AFS, 41/52-001,FRAIS,TD,AFF, 43/45/67-001,MEA, 48-001,DLC Longue,TA, 43-002,DLC Courte, 49-004, 49-001, 43-007, 49-007, 49-002,REA, 40-001/41-018, 10-016/40-012/41-006, 41-011/43-019,monthdays,weekday_sin,weekday_cos,monthday_sin,monthday_cos,mois_sin,mois_cos,semaine_sin,semaine_cos,Temp moy Auvergne,Temp moy Bourgogne,Sem Juin,Sem aout,Sem dec,vacances_zone_a,vacances_zone_b,vacances_zone_c,nom_vacances_Ascen,nom_vacances_halloween,nom_vacances_spring,nom_vacances_summer,nom_vacances_winter,nom_vacances_xmas,to_holydays_a,to_holydays_b,to_holydays_c,from_holydays_a,from_holydays_b,from_holydays_c
0,3,10,lun,02/03/2020,75805.0,76883.0,508.19,209.0,12769.0,11240.0,100.96,130.0,16500.0,18029.0,143.46,150.0,567.6708860759494,916.2025316455696,311.1645569620253,2014.7088607594933,3829.0,204.17,36.0,,0,1,-61,Jour de l\’An,42,Pâques,42,Pâques,22,29,88,29,12,5,42,34,33,7,13,31,17,11,34,19,26,11,21,6,12,7,2,10,5,3,2,2,1,0,0,0,0,2,0.0,1.0,0.3943558551133185,0.9189578116202306,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,7.784999999999999,6.935,0,0,0,1,0,0,0,0,0,0,1,0,0,40,33,0,1,8
0,3,10,mar,03/03/2020,108111.0,102118.0,593.55,209.0,14450.0,11438.0,97.78,130.0,14500.0,17120.0,125.82,150.0,561.1219512195122,749.7682926829268,291.96153846153845,1859.2682926829268,3875.0,196.56,36.0,1.0,1,1,-62,Jour de l\’An,41,Pâques,41,Pâques,22,29,88,29,12,5,42,34,33,7,13,31,17,11,34,19,26,11,21,6,12,7,2,10,5,3,2,2,1,0,0,0,0,3,0.7818314824680298,0.6234898018587336,0.5712682150947923,0.8207634412072763,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,6.9433333333333325,6.721666666666667,0,0,0,1,0,0,0,0,0,0,1,0,0,39,32,0,2,9
0,3,10,mer,04/03/2020,110822.0,102394.0,615.11,209.0,10417.0,12655.0,105.05,130.0,13500.0,16753.0,109.19,150.0,571.1234567901234,791.2098765432099,310.61728395061726,2284.1604938271603,4269.0,223.23,36.0,2.0,2,1,-63,Jour de l\’An,40,Pâques,40,Pâques,22,29,88,29,12,5,42,34,33,7,13,31,17,11,34,19,26,11,21,6,12,7,2,10,5,3,2,2,1,0,0,0,0,4,0.9749279121818236,-0.2225209339563143,0.72479278722912,0.6889669190756866,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,7.461666666666667,7.053333333333334,0,0,0,1,0,0,0,0,0,0,1,0,0,38,31,0,3,10
0,3,10,jeu,05/03/2020,108573.0,111387.0,612.33,209.0,10820.0,11251.0,103.95,130.0,19000.0,20926.0,156.3,150.0,562.1772151898734,1009.025641025641,299.88607594936707,1967.089743589744,4469.0,227.16,36.0,3.0,3,1,-64,Jour de l\’An,39,Pâques,39,Pâques,22,29,88,29,12,5,42,34,33,7,13,31,17,11,34,19,26,11,21,6,12,7,2,10,5,3,2,2,1,0,0,0,0,5,0.4338837391175582,-0.900968867902419,0.8486442574947509,0.5289640103269624,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,7.451666666666665,7.158333333333334,0,0,0,1,0,0,0,0,0,0,1,0,0,37,30,0,4,11
0,3,10,ven,06/03/2020,99126.0,100346.0,590.2,209.0,8233.0,12324.0,98.0,130.0,23000.0,24503.0,177.42,150.0,537.9953846153846,1014.1231168831168,302.44,2385.395194805195,4719.0,239.9,36.0,4.0,4,0,-65,Jour de l\’An,38,Pâques,38,Pâques,22,29,88,29,12,5,42,34,33,7,13,31,17,11,34,19,26,11,21,6,12,7,2,10,5,3,2,2,1,0,0,0,0,6,-0.433883739117558,-0.9009688679024191,0.9377521321470804,0.3473052528448203,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,7.006666666666667,6.403333333333333,0,0,0,1,0,0,0,0,0,0,1,0,0,36,29,0,5,12
0,3,10,sam,07/03/2020,81725.0,75824.0,452.27,209.0,10525.0,6773.0,80.24,130.0,14500.0,14823.0,110.49,150.0,295.9149350649351,706.7511688311688,100.65333333333334,1611.4233766233767,3118.0,170.15,36.0,5.0,5,0,-66,Jour de l\’An,37,Pâques,37,Pâques,22,29,88,29,12,5,42,34,33,7,13,31,17,11,34,19,26,11,21,6,12,7,2,10,5,3,2,2,1,0,0,0,0,7,-0.9749279121818236,-0.2225209339563146,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,0.9431544344712774,0.3323547994796596,6.351666666666667,6.076666666666667,0,0,0,1,0,0,0,0,0,0,1,0,0,35,28,0,6,13
0,3,11,lun,09/03/2020,73298.0,69729.0,535.18,209.0,12769.0,13650.0,126.54,130.0,16500.0,16217.0,111.04,150.0,567.6708860759494,916.2025316455696,311.1645569620253,2014.7088607594933,3702.0,226.46,36.0,7.0,0,0,-68,Jour de l\’An,35,Pâques,35,Pâques,22,29,86,29,12,5,41,33,32,7,13,31,17,11,33,18,25,10,21,6,12,7,2,10,5,3,2,2,1,0,0,0,0,9,0.0,1.0,0.9680771188662044,-0.2506525322587204,1.0,6.123233995736766e-17,0.9768483177596008,0.2139330832064975,7.321666666666665,7.678333333333335,0,0,0,0,0,0,0,0,0,0,0,0,40,33,26,1,8,15
0,3,11,mar,10/03/2020,104122.0,95297.0,655.52,209.0,14450.0,14421.0,137.0,130.0,14500.0,14585.0,97.49,150.0,561.1219512195122,749.7682926829268,291.96153846153845,1859.2682926829268,3794.0,177.11,36.0,8.0,1,0,-69,Jour de l\’An,34,Pâques,34,Pâques,22,29,90,30,12,5,42,34,34,7,14,35,18,12,34,19,26,11,22,6,12,7,2,10,5,3,2,2,1,0,0,0,0,10,0.7818314824680298,0.6234898018587336,0.8978045395707416,-0.4403941515576344,1.0,6.123233995736766e-17,0.9768483177596008,0.2139330832064975,8.883333333333333,9.351666666666668,0,0,0,0,0,0,0,0,0,0,0,0,39,32,25,2,9,16
0,3,11,mer,11/03/2020,104069.0,103492.0,699.38,209.0,10417.0,12773.0,112.69,130.0,13500.0,14949.0,105.38,150.0,571.1234567901234,791.2098765432099,310.61728395061726,2284.1604938271603,4271.0,189.78,36.0,9.0,2,0,-70,Jour de l\’An,33,Pâques,33,Pâques,22,29,90,30,12,5,42,34,34,7,14,35,18,12,34,19,26,11,22,6,12,7,2,10,5,3,2,2,1,0,0,0,0,11,0.9749279121818236,-0.2225209339563143,0.7907757369376989,-0.6121059825476626,1.0,6.123233995736766e-17,0.9768483177596008,0.2139330832064975,10.001666666666669,9.683333333333334,0,0,0,0,0,0,0,0,0,0,0,0,38,31,24,3,10,17
0,3,11,jeu,12/03/2020,98291.0,102555.0,661.75,209.0,10820.0,13327.0,146.29,130.0,19000.0,20442.0,134.9,150.0,562.1772151898734,1009.025641025641,299.88607594936707,1967.089743589744,4243.0,195.33,36.0,10.0,3,0,-71,Jour de l\’An,32,Pâques,32,Pâques,22,29,90,30,12,5,42,34,34,7,14,35,18,12,34,19,26,11,22,6,12,7,2,10,5,3,2,2,1,0,0,0,0,12,0.4338837391175582,-0.900968867902419,0.6513724827222223,-0.758758122692791,1.0,6.123233995736766e-17,0.9768483177596008,0.2139330832064975,8.411666666666667,8.805,0,0,0,0,0,0,0,0,0,0,0,0,37,30,23,4,11,18
